material_id,description,commodity,price_eur_per_kg
S235,Constructiestaal S235 (plaat/profiel),Staal,1.0889
S355,Constructiestaal S355 (hoge sterkte),Staal,1.1845
AL6061,Aluminium legering 6061-T6,Aluminium,4.2904
AL5083,Aluminium legering 5083 (maritiem),Aluminium,4.9078
316,Roestvast staal 316L (plaat),RVS,3.905
304,Roestvast staal 304 (plaat),RVS,3.5127
1.4462,Duplex roestvast staal 1.4462,RVS Duplex,4.9692
Ti6Al4V,Titanium legering Ti-6Al-4V,Titanium,31.4611
CuZn37,Messing CuZn37 (plaat),Messing,8.4975
CuETP,Koper elektrolytisch (plaat),Koper,9.005
EN-GJL-250,Gietijzer lamellair GJL-250,Gietijzer,1.6176
EN-GJS-500,Sfero gietijzer GJS-500,Gietijzer,1.738
PA6,Polyamide PA6 (nylon plaat),Kunststof,4.1445
POM,Polyoxymethyleen Delrin (plaat),Kunststof,5.4887
PTFE,Teflon PTFE (plaat),Kunststof,18.058
PE500,Polyethyleen PE500 (plaat),Kunststof,3.835
