material_id,description,commodity,price_eur_per_kg
S235,Constructiestaal S235 (plaat/profiel),Staal,1.0905
S355,Constructiestaal S355 (hoge sterkte),Staal,1.1867
AL6061,Aluminium legering 6061-T6,Aluminium,4.3493
AL5083,Aluminium legering 5083 (maritiem),Aluminium,4.8966
316,Roestvast staal 316L (plaat),RVS,3.8953
304,Roestvast staal 304 (plaat),RVS,3.5542
1.4462,Duplex roestvast staal 1.4462,RVS Duplex,5.0427
Ti6Al4V,Titanium legering Ti-6Al-4V,Titanium,31.086
CuZn37,Messing CuZn37 (plaat),Messing,8.5557
CuETP,Koper elektrolytisch (plaat),Koper,8.9474
EN-GJL-250,Gietijzer lamellair GJL-250,Gietijzer,1.6071
EN-GJS-500,Sfero gietijzer GJS-500,Gietijzer,1.7301
PA6,Polyamide PA6 (nylon plaat),Kunststof,4.1175
POM,Polyoxymethyleen Delrin (plaat),Kunststof,5.4522
PTFE,Teflon PTFE (plaat),Kunststof,18.1174
PE500,Polyethyleen PE500 (plaat),Kunststof,3.8728
