material_id,description,commodity,price_eur_per_kg
S235,Constructiestaal S235 (plaat/profiel),Staal,1.0979
S355,Constructiestaal S355 (hoge sterkte),Staal,1.2029
AL6061,Aluminium legering 6061-T6,Aluminium,4.5174
AL5083,Aluminium legering 5083 (maritiem),Aluminium,4.7957
316,Roestvast staal 316L (plaat),RVS,3.8274
304,Roestvast staal 304 (plaat),RVS,3.4794
1.4462,Duplex roestvast staal 1.4462,RVS Duplex,5.1837
Ti6Al4V,Titanium legering Ti-6Al-4V,Titanium,32.1124
CuZn37,Messing CuZn37 (plaat),Messing,8.5756
CuETP,Koper elektrolytisch (plaat),Koper,8.8209
EN-GJL-250,Gietijzer lamellair GJL-250,Gietijzer,1.6012
EN-GJS-500,Sfero gietijzer GJS-500,Gietijzer,1.8028
PA6,Polyamide PA6 (nylon plaat),Kunststof,4.1831
POM,Polyoxymethyleen Delrin (plaat),Kunststof,5.4617
PTFE,Teflon PTFE (plaat),Kunststof,17.9852
PE500,Polyethyleen PE500 (plaat),Kunststof,3.7749
