material_id,description,commodity,price_eur_per_kg
S235,Constructiestaal S235 (plaat/profiel),Staal,1.0866
S355,Constructiestaal S355 (hoge sterkte),Staal,1.2145
AL6061,Aluminium legering 6061-T6,Aluminium,4.541
AL5083,Aluminium legering 5083 (maritiem),Aluminium,4.8091
316,Roestvast staal 316L (plaat),RVS,3.8284
304,Roestvast staal 304 (plaat),RVS,3.5027
1.4462,Duplex roestvast staal 1.4462,RVS Duplex,5.1252
Ti6Al4V,Titanium legering Ti-6Al-4V,Titanium,31.838
CuZn37,Messing CuZn37 (plaat),Messing,8.4546
CuETP,Koper elektrolytisch (plaat),Koper,8.7697
EN-GJL-250,Gietijzer lamellair GJL-250,Gietijzer,1.6131
EN-GJS-500,Sfero gietijzer GJS-500,Gietijzer,1.7925
PA6,Polyamide PA6 (nylon plaat),Kunststof,4.1746
POM,Polyoxymethyleen Delrin (plaat),Kunststof,5.3981
PTFE,Teflon PTFE (plaat),Kunststof,17.9745
PE500,Polyethyleen PE500 (plaat),Kunststof,3.7798
