material_id,description,commodity,price_eur_per_kg
S235,Constructiestaal S235 (plaat/profiel),Staal,1.0948
S355,Constructiestaal S355 (hoge sterkte),Staal,1.2097
AL6061,Aluminium legering 6061-T6,Aluminium,4.5183
AL5083,Aluminium legering 5083 (maritiem),Aluminium,4.8117
316,Roestvast staal 316L (plaat),RVS,3.8331
304,Roestvast staal 304 (plaat),RVS,3.4843
1.4462,Duplex roestvast staal 1.4462,RVS Duplex,5.1349
Ti6Al4V,Titanium legering Ti-6Al-4V,Titanium,32.0704
CuZn37,Messing CuZn37 (plaat),Messing,8.5237
CuETP,Koper elektrolytisch (plaat),Koper,8.8082
EN-GJL-250,Gietijzer lamellair GJL-250,Gietijzer,1.6103
EN-GJS-500,Sfero gietijzer GJS-500,Gietijzer,1.8001
PA6,Polyamide PA6 (nylon plaat),Kunststof,4.156
POM,Polyoxymethyleen Delrin (plaat),Kunststof,5.4787
PTFE,Teflon PTFE (plaat),Kunststof,17.8584
PE500,Polyethyleen PE500 (plaat),Kunststof,3.7592
