material_id,description,commodity,price_eur_per_kg
S235,Constructiestaal S235 (plaat/profiel),Staal,1.0737
S355,Constructiestaal S355 (hoge sterkte),Staal,1.1818
AL6061,Aluminium legering 6061-T6,Aluminium,4.3961
AL5083,Aluminium legering 5083 (maritiem),Aluminium,4.8988
316,Roestvast staal 316L (plaat),RVS,3.8736
304,Roestvast staal 304 (plaat),RVS,3.5345
1.4462,Duplex roestvast staal 1.4462,RVS Duplex,5.082
Ti6Al4V,Titanium legering Ti-6Al-4V,Titanium,31.2801
CuZn37,Messing CuZn37 (plaat),Messing,8.4312
CuETP,Koper elektrolytisch (plaat),Koper,8.7774
EN-GJL-250,Gietijzer lamellair GJL-250,Gietijzer,1.6155
EN-GJS-500,Sfero gietijzer GJS-500,Gietijzer,1.7303
PA6,Polyamide PA6 (nylon plaat),Kunststof,4.1232
POM,Polyoxymethyleen Delrin (plaat),Kunststof,5.4735
PTFE,Teflon PTFE (plaat),Kunststof,18.1157
PE500,Polyethyleen PE500 (plaat),Kunststof,3.8656
