material_id,description,commodity,price_eur_per_kg
S235,Constructiestaal S235 (plaat/profiel),Staal,1.0697
S355,Constructiestaal S355 (hoge sterkte),Staal,1.1823
AL6061,Aluminium legering 6061-T6,Aluminium,4.3276
AL5083,Aluminium legering 5083 (maritiem),Aluminium,4.8698
316,Roestvast staal 316L (plaat),RVS,3.8752
304,Roestvast staal 304 (plaat),RVS,3.4984
1.4462,Duplex roestvast staal 1.4462,RVS Duplex,5.0717
Ti6Al4V,Titanium legering Ti-6Al-4V,Titanium,31.308
CuZn37,Messing CuZn37 (plaat),Messing,8.3544
CuETP,Koper elektrolytisch (plaat),Koper,8.7826
EN-GJL-250,Gietijzer lamellair GJL-250,Gietijzer,1.5917
EN-GJS-500,Sfero gietijzer GJS-500,Gietijzer,1.7544
PA6,Polyamide PA6 (nylon plaat),Kunststof,4.1273
POM,Polyoxymethyleen Delrin (plaat),Kunststof,5.4394
PTFE,Teflon PTFE (plaat),Kunststof,18.2494
PE500,Polyethyleen PE500 (plaat),Kunststof,3.7675
