material_id,description,commodity,price_eur_per_kg
S235,Constructiestaal S235 (plaat/profiel),Staal,1.0727
S355,Constructiestaal S355 (hoge sterkte),Staal,1.185
AL6061,Aluminium legering 6061-T6,Aluminium,4.4132
AL5083,Aluminium legering 5083 (maritiem),Aluminium,4.9266
316,Roestvast staal 316L (plaat),RVS,3.9006
304,Roestvast staal 304 (plaat),RVS,3.5498
1.4462,Duplex roestvast staal 1.4462,RVS Duplex,5.0594
Ti6Al4V,Titanium legering Ti-6Al-4V,Titanium,31.0293
CuZn37,Messing CuZn37 (plaat),Messing,8.4595
CuETP,Koper elektrolytisch (plaat),Koper,8.7716
EN-GJL-250,Gietijzer lamellair GJL-250,Gietijzer,1.6164
EN-GJS-500,Sfero gietijzer GJS-500,Gietijzer,1.735
PA6,Polyamide PA6 (nylon plaat),Kunststof,4.1278
POM,Polyoxymethyleen Delrin (plaat),Kunststof,5.4379
PTFE,Teflon PTFE (plaat),Kunststof,18.1093
PE500,Polyethyleen PE500 (plaat),Kunststof,3.8705
