material_id,description,commodity,price_eur_per_kg
S235,Constructiestaal S235 (plaat/profiel),Staal,1.078
S355,Constructiestaal S355 (hoge sterkte),Staal,1.1843
AL6061,Aluminium legering 6061-T6,Aluminium,4.3505
AL5083,Aluminium legering 5083 (maritiem),Aluminium,4.8461
316,Roestvast staal 316L (plaat),RVS,3.8779
304,Roestvast staal 304 (plaat),RVS,3.5109
1.4462,Duplex roestvast staal 1.4462,RVS Duplex,5.0594
Ti6Al4V,Titanium legering Ti-6Al-4V,Titanium,31.4052
CuZn37,Messing CuZn37 (plaat),Messing,8.4518
CuETP,Koper elektrolytisch (plaat),Koper,8.7609
EN-GJL-250,Gietijzer lamellair GJL-250,Gietijzer,1.5909
EN-GJS-500,Sfero gietijzer GJS-500,Gietijzer,1.7507
PA6,Polyamide PA6 (nylon plaat),Kunststof,4.1519
POM,Polyoxymethyleen Delrin (plaat),Kunststof,5.4563
PTFE,Teflon PTFE (plaat),Kunststof,18.2888
PE500,Polyethyleen PE500 (plaat),Kunststof,3.7782
