material_id,description,commodity,price_eur_per_kg
S235,Constructiestaal S235 (plaat/profiel),Staal,1.0816
S355,Constructiestaal S355 (hoge sterkte),Staal,1.187
AL6061,Aluminium legering 6061-T6,Aluminium,4.2975
AL5083,Aluminium legering 5083 (maritiem),Aluminium,4.9185
316,Roestvast staal 316L (plaat),RVS,3.8642
304,Roestvast staal 304 (plaat),RVS,3.5318
1.4462,Duplex roestvast staal 1.4462,RVS Duplex,5.0353
Ti6Al4V,Titanium legering Ti-6Al-4V,Titanium,31.3213
CuZn37,Messing CuZn37 (plaat),Messing,8.5113
CuETP,Koper elektrolytisch (plaat),Koper,8.9392
EN-GJL-250,Gietijzer lamellair GJL-250,Gietijzer,1.6162
EN-GJS-500,Sfero gietijzer GJS-500,Gietijzer,1.7332
PA6,Polyamide PA6 (nylon plaat),Kunststof,4.1369
POM,Polyoxymethyleen Delrin (plaat),Kunststof,5.4541
PTFE,Teflon PTFE (plaat),Kunststof,17.9673
PE500,Polyethyleen PE500 (plaat),Kunststof,3.8464
