material_id,description,commodity,price_eur_per_kg
S235,Constructiestaal S235 (plaat/profiel),Staal,1.085
S355,Constructiestaal S355 (hoge sterkte),Staal,1.188
AL6061,Aluminium legering 6061-T6,Aluminium,4.3462
AL5083,Aluminium legering 5083 (maritiem),Aluminium,4.9113
316,Roestvast staal 316L (plaat),RVS,3.8773
304,Roestvast staal 304 (plaat),RVS,3.5327
1.4462,Duplex roestvast staal 1.4462,RVS Duplex,5.0407
Ti6Al4V,Titanium legering Ti-6Al-4V,Titanium,31.3545
CuZn37,Messing CuZn37 (plaat),Messing,8.5376
CuETP,Koper elektrolytisch (plaat),Koper,8.904
EN-GJL-250,Gietijzer lamellair GJL-250,Gietijzer,1.6163
EN-GJS-500,Sfero gietijzer GJS-500,Gietijzer,1.7332
PA6,Polyamide PA6 (nylon plaat),Kunststof,4.1266
POM,Polyoxymethyleen Delrin (plaat),Kunststof,5.4414
PTFE,Teflon PTFE (plaat),Kunststof,18.0875
PE500,Polyethyleen PE500 (plaat),Kunststof,3.8547
