material_id,description,commodity,price_eur_per_kg
S235,Constructiestaal S235 (plaat/profiel),Staal,1.0803
S355,Constructiestaal S355 (hoge sterkte),Staal,1.2021
AL6061,Aluminium legering 6061-T6,Aluminium,4.4487
AL5083,Aluminium legering 5083 (maritiem),Aluminium,4.7952
316,Roestvast staal 316L (plaat),RVS,3.8671
304,Roestvast staal 304 (plaat),RVS,3.5102
1.4462,Duplex roestvast staal 1.4462,RVS Duplex,5.1366
Ti6Al4V,Titanium legering Ti-6Al-4V,Titanium,31.964
CuZn37,Messing CuZn37 (plaat),Messing,8.4713
CuETP,Koper elektrolytisch (plaat),Koper,8.7627
EN-GJL-250,Gietijzer lamellair GJL-250,Gietijzer,1.6121
EN-GJS-500,Sfero gietijzer GJS-500,Gietijzer,1.7906
PA6,Polyamide PA6 (nylon plaat),Kunststof,4.1853
POM,Polyoxymethyleen Delrin (plaat),Kunststof,5.4479
PTFE,Teflon PTFE (plaat),Kunststof,18.0542
PE500,Polyethyleen PE500 (plaat),Kunststof,3.8003
