material_id,description,commodity,price_eur_per_kg
S235,Constructiestaal S235 (plaat/profiel),Staal,1.0949
S355,Constructiestaal S355 (hoge sterkte),Staal,1.2046
AL6061,Aluminium legering 6061-T6,Aluminium,4.547
AL5083,Aluminium legering 5083 (maritiem),Aluminium,4.8178
316,Roestvast staal 316L (plaat),RVS,3.8224
304,Roestvast staal 304 (plaat),RVS,3.468
1.4462,Duplex roestvast staal 1.4462,RVS Duplex,5.1533
Ti6Al4V,Titanium legering Ti-6Al-4V,Titanium,32.2291
CuZn37,Messing CuZn37 (plaat),Messing,8.5462
CuETP,Koper elektrolytisch (plaat),Koper,8.7608
EN-GJL-250,Gietijzer lamellair GJL-250,Gietijzer,1.607
EN-GJS-500,Sfero gietijzer GJS-500,Gietijzer,1.8026
PA6,Polyamide PA6 (nylon plaat),Kunststof,4.1628
POM,Polyoxymethyleen Delrin (plaat),Kunststof,5.4959
PTFE,Teflon PTFE (plaat),Kunststof,17.9391
PE500,Polyethyleen PE500 (plaat),Kunststof,3.7658
