material_id,description,commodity,price_eur_per_kg
S235,Constructiestaal S235 (plaat/profiel),Staal,1.0836
S355,Constructiestaal S355 (hoge sterkte),Staal,1.2156
AL6061,Aluminium legering 6061-T6,Aluminium,4.5334
AL5083,Aluminium legering 5083 (maritiem),Aluminium,4.7991
316,Roestvast staal 316L (plaat),RVS,3.8317
304,Roestvast staal 304 (plaat),RVS,3.5104
1.4462,Duplex roestvast staal 1.4462,RVS Duplex,5.1414
Ti6Al4V,Titanium legering Ti-6Al-4V,Titanium,31.8227
CuZn37,Messing CuZn37 (plaat),Messing,8.4831
CuETP,Koper elektrolytisch (plaat),Koper,8.7758
EN-GJL-250,Gietijzer lamellair GJL-250,Gietijzer,1.6126
EN-GJS-500,Sfero gietijzer GJS-500,Gietijzer,1.794
PA6,Polyamide PA6 (nylon plaat),Kunststof,4.1692
POM,Polyoxymethyleen Delrin (plaat),Kunststof,5.3894
PTFE,Teflon PTFE (plaat),Kunststof,18.0586
PE500,Polyethyleen PE500 (plaat),Kunststof,3.7851
