material_id,description,commodity,price_eur_per_kg
S235,Constructiestaal S235 (plaat/profiel),Staal,1.0888
S355,Constructiestaal S355 (hoge sterkte),Staal,1.186
AL6061,Aluminium legering 6061-T6,Aluminium,4.2972
AL5083,Aluminium legering 5083 (maritiem),Aluminium,4.9133
316,Roestvast staal 316L (plaat),RVS,3.9037
304,Roestvast staal 304 (plaat),RVS,3.5128
1.4462,Duplex roestvast staal 1.4462,RVS Duplex,4.9676
Ti6Al4V,Titanium legering Ti-6Al-4V,Titanium,31.4375
CuZn37,Messing CuZn37 (plaat),Messing,8.5055
CuETP,Koper elektrolytisch (plaat),Koper,8.9852
EN-GJL-250,Gietijzer lamellair GJL-250,Gietijzer,1.6182
EN-GJS-500,Sfero gietijzer GJS-500,Gietijzer,1.7391
PA6,Polyamide PA6 (nylon plaat),Kunststof,4.1415
POM,Polyoxymethyleen Delrin (plaat),Kunststof,5.5039
PTFE,Teflon PTFE (plaat),Kunststof,18.0794
PE500,Polyethyleen PE500 (plaat),Kunststof,3.8294
