material_id,description,commodity,price_eur_per_kg
S235,Constructiestaal S235 (plaat/profiel),Staal,1.0873
S355,Constructiestaal S355 (hoge sterkte),Staal,1.2141
AL6061,Aluminium legering 6061-T6,Aluminium,4.5391
AL5083,Aluminium legering 5083 (maritiem),Aluminium,4.8173
316,Roestvast staal 316L (plaat),RVS,3.8312
304,Roestvast staal 304 (plaat),RVS,3.4952
1.4462,Duplex roestvast staal 1.4462,RVS Duplex,5.1341
Ti6Al4V,Titanium legering Ti-6Al-4V,Titanium,31.9394
CuZn37,Messing CuZn37 (plaat),Messing,8.4783
CuETP,Koper elektrolytisch (plaat),Koper,8.7693
EN-GJL-250,Gietijzer lamellair GJL-250,Gietijzer,1.613
EN-GJS-500,Sfero gietijzer GJS-500,Gietijzer,1.7928
PA6,Polyamide PA6 (nylon plaat),Kunststof,4.167
POM,Polyoxymethyleen Delrin (plaat),Kunststof,5.4198
PTFE,Teflon PTFE (plaat),Kunststof,17.9638
PE500,Polyethyleen PE500 (plaat),Kunststof,3.771
