material_id,description,commodity,price_eur_per_kg
S235,Constructiestaal S235 (plaat/profiel),Staal,1.0747
S355,Constructiestaal S355 (hoge sterkte),Staal,1.2071
AL6061,Aluminium legering 6061-T6,Aluminium,4.4345
AL5083,Aluminium legering 5083 (maritiem),Aluminium,4.7885
316,Roestvast staal 316L (plaat),RVS,3.8766
304,Roestvast staal 304 (plaat),RVS,3.502
1.4462,Duplex roestvast staal 1.4462,RVS Duplex,5.1311
Ti6Al4V,Titanium legering Ti-6Al-4V,Titanium,32.1737
CuZn37,Messing CuZn37 (plaat),Messing,8.4479
CuETP,Koper elektrolytisch (plaat),Koper,8.736
EN-GJL-250,Gietijzer lamellair GJL-250,Gietijzer,1.6207
EN-GJS-500,Sfero gietijzer GJS-500,Gietijzer,1.7904
PA6,Polyamide PA6 (nylon plaat),Kunststof,4.162
POM,Polyoxymethyleen Delrin (plaat),Kunststof,5.4523
PTFE,Teflon PTFE (plaat),Kunststof,18.0309
PE500,Polyethyleen PE500 (plaat),Kunststof,3.7914
