material_id,description,commodity,price_eur_per_kg
S235,Constructiestaal S235 (plaat/profiel),Staal,1.0825
S355,Constructiestaal S355 (hoge sterkte),Staal,1.1865
AL6061,Aluminium legering 6061-T6,Aluminium,4.303
AL5083,Aluminium legering 5083 (maritiem),Aluminium,4.8988
316,Roestvast staal 316L (plaat),RVS,3.849
304,Roestvast staal 304 (plaat),RVS,3.5382
1.4462,Duplex roestvast staal 1.4462,RVS Duplex,5.0356
Ti6Al4V,Titanium legering Ti-6Al-4V,Titanium,31.3478
CuZn37,Messing CuZn37 (plaat),Messing,8.5259
CuETP,Koper elektrolytisch (plaat),Koper,8.9328
EN-GJL-250,Gietijzer lamellair GJL-250,Gietijzer,1.6138
EN-GJS-500,Sfero gietijzer GJS-500,Gietijzer,1.7343
PA6,Polyamide PA6 (nylon plaat),Kunststof,4.1263
POM,Polyoxymethyleen Delrin (plaat),Kunststof,5.442
PTFE,Teflon PTFE (plaat),Kunststof,17.9802
PE500,Polyethyleen PE500 (plaat),Kunststof,3.8543
