material_id,description,commodity,price_eur_per_kg
S235,Constructiestaal S235 (plaat/profiel),Staal,1.0811
S355,Constructiestaal S355 (hoge sterkte),Staal,1.1914
AL6061,Aluminium legering 6061-T6,Aluminium,4.377
AL5083,Aluminium legering 5083 (maritiem),Aluminium,4.8472
316,Roestvast staal 316L (plaat),RVS,3.8943
304,Roestvast staal 304 (plaat),RVS,3.5024
1.4462,Duplex roestvast staal 1.4462,RVS Duplex,5.1441
Ti6Al4V,Titanium legering Ti-6Al-4V,Titanium,32.143
CuZn37,Messing CuZn37 (plaat),Messing,8.4866
CuETP,Koper elektrolytisch (plaat),Koper,8.7165
EN-GJL-250,Gietijzer lamellair GJL-250,Gietijzer,1.602
EN-GJS-500,Sfero gietijzer GJS-500,Gietijzer,1.7854
PA6,Polyamide PA6 (nylon plaat),Kunststof,4.1611
POM,Polyoxymethyleen Delrin (plaat),Kunststof,5.3919
PTFE,Teflon PTFE (plaat),Kunststof,18.076
PE500,Polyethyleen PE500 (plaat),Kunststof,3.7881
