material_id,description,commodity,price_eur_per_kg
S235,Constructiestaal S235 (plaat/profiel),Staal,1.0951
S355,Constructiestaal S355 (hoge sterkte),Staal,1.2079
AL6061,Aluminium legering 6061-T6,Aluminium,4.5407
AL5083,Aluminium legering 5083 (maritiem),Aluminium,4.8222
316,Roestvast staal 316L (plaat),RVS,3.8255
304,Roestvast staal 304 (plaat),RVS,3.4736
1.4462,Duplex roestvast staal 1.4462,RVS Duplex,5.1584
Ti6Al4V,Titanium legering Ti-6Al-4V,Titanium,32.2084
CuZn37,Messing CuZn37 (plaat),Messing,8.5486
CuETP,Koper elektrolytisch (plaat),Koper,8.7565
EN-GJL-250,Gietijzer lamellair GJL-250,Gietijzer,1.6061
EN-GJS-500,Sfero gietijzer GJS-500,Gietijzer,1.799
PA6,Polyamide PA6 (nylon plaat),Kunststof,4.1649
POM,Polyoxymethyleen Delrin (plaat),Kunststof,5.5081
PTFE,Teflon PTFE (plaat),Kunststof,17.9104
PE500,Polyethyleen PE500 (plaat),Kunststof,3.7677
