material_id,description,commodity,price_eur_per_kg
S235,Constructiestaal S235 (plaat/profiel),Staal,1.0865
S355,Constructiestaal S355 (hoge sterkte),Staal,1.217
AL6061,Aluminium legering 6061-T6,Aluminium,4.4741
AL5083,Aluminium legering 5083 (maritiem),Aluminium,4.7818
316,Roestvast staal 316L (plaat),RVS,3.8685
304,Roestvast staal 304 (plaat),RVS,3.5038
1.4462,Duplex roestvast staal 1.4462,RVS Duplex,5.127
Ti6Al4V,Titanium legering Ti-6Al-4V,Titanium,31.8849
CuZn37,Messing CuZn37 (plaat),Messing,8.4202
CuETP,Koper elektrolytisch (plaat),Koper,8.7382
EN-GJL-250,Gietijzer lamellair GJL-250,Gietijzer,1.5955
EN-GJS-500,Sfero gietijzer GJS-500,Gietijzer,1.7909
PA6,Polyamide PA6 (nylon plaat),Kunststof,4.1925
POM,Polyoxymethyleen Delrin (plaat),Kunststof,5.4526
PTFE,Teflon PTFE (plaat),Kunststof,18.0953
PE500,Polyethyleen PE500 (plaat),Kunststof,3.8263
