material_id,description,commodity,price_eur_per_kg
S235,Constructiestaal S235 (plaat/profiel),Staal,1.0946
S355,Constructiestaal S355 (hoge sterkte),Staal,1.2117
AL6061,Aluminium legering 6061-T6,Aluminium,4.534
AL5083,Aluminium legering 5083 (maritiem),Aluminium,4.8131
316,Roestvast staal 316L (plaat),RVS,3.8443
304,Roestvast staal 304 (plaat),RVS,3.4778
1.4462,Duplex roestvast staal 1.4462,RVS Duplex,5.1392
Ti6Al4V,Titanium legering Ti-6Al-4V,Titanium,32.218
CuZn37,Messing CuZn37 (plaat),Messing,8.508
CuETP,Koper elektrolytisch (plaat),Koper,8.8126
EN-GJL-250,Gietijzer lamellair GJL-250,Gietijzer,1.6087
EN-GJS-500,Sfero gietijzer GJS-500,Gietijzer,1.7979
PA6,Polyamide PA6 (nylon plaat),Kunststof,4.1627
POM,Polyoxymethyleen Delrin (plaat),Kunststof,5.474
PTFE,Teflon PTFE (plaat),Kunststof,17.8308
PE500,Polyethyleen PE500 (plaat),Kunststof,3.7602
